instance,algorithm,avg_objective,std_objective,best_objective,best_distance,vehicles_used,feasible,vehicle_limit,capacity
R203,ACS,2195.149740322575,63.10007117108971,2049.715809728059,2049.715809728059,21,True,25,1000.0
R203,MEAF,1941.0805583157794,29.710339407352603,1859.065748820999,1859.065748820999,8,True,25,1000.0
R204,GA,1120.7800865369654,31.182602196838424,1049.0689020961245,1049.0689020961245,8,True,25,1000.0
R204,PSO,2085.5109606471947,20.547175553542264,2045.4537304727805,2045.4537304727805,5,True,25,1000.0
R204,ACS,1835.3588190508606,54.749004565034554,1717.0036661689373,1717.0036661689373,12,True,25,1000.0
R204,MEAF,1695.2543090888528,26.335924791014495,1638.1810746799758,1638.1810746799758,10,True,25,1000.0
R205,GA,1340.7227995244232,48.89423855808366,1238.0166161749557,1238.0166161749557,10,True,25,1000.0
R205,PSO,2053.1296601950953,12.908153004415723,2023.769584960617,2023.769584960617,9,True,25,1000.0
R205,ACS,2063.927097160433,4.547473508864641e-13,2063.9270971604324,2063.9270971604324,9,True,25,1000.0
R205,MEAF,1812.0766651666484,13.765398651441291,1781.4433834466392,1781.4433834466392,10,True,25,1000.0
R206,GA,1255.5501173440366,51.02224986659308,1166.624820345826,1166.624820345826,6,True,25,1000.0
R206,PSO,2184.5465966433776,18.56117655659658,2144.310844488962,2144.310844488962,6,True,25,1000.0
R206,ACS,2171.214545923556,57.28914600678597,2001.8125065876263,2001.8125065876263,20,True,25,1000.0
R206,MEAF,1845.0395232060077,24.196651513543536,1796.6048635730788,1796.6048635730788,7,True,25,1000.0
R207,GA,1242.2965525309269,32.74392595974634,1188.2029216433777,1188.2029216433777,5,True,25,1000.0
R207,PSO,2249.3973102031464,28.85950623055358,2166.875741599208,2166.875741599208,7,True,25,1000.0
R207,ACS,2006.1933119610635,63.71357868722365,1818.2258717466138,1818.2258717466138,15,True,25,1000.0
R207,MEAF,1834.0732388433676,23.13296313665375,1790.3523952633027,1790.3523952633027,8,True,25,1000.0
R208,GA,1106.6791792103456,33.127120979339075,1045.7324632943587,1045.7324632943587,5,True,25,1000.0
R208,PSO,2011.3599395877197,16.36701723981229,1986.8382334820262,1986.8382334820262,6,True,25,1000.0
R208,ACS,1719.9415210695229,57.58559569830448,1628.043208842318,1628.043208842318,9,True,25,1000.0
R208,MEAF,1609.4841476832846,29.618284869025572,1531.1399636356605,1531.1399636356605,7,True,25,1000.0
R209,GA,1273.8673742426001,35.63634786674536,1195.0736805763975,1195.0736805763975,9,True,25,1000.0
R209,PSO,2035.6962224750196,17.04129002486847,2004.683041154134,2004.683041154134,10,True,25,1000.0
R209,ACS,2053.4914297057617,6.053827575153131,2026.4178897415516,2026.4178897415516,21,True,25,1000.0
R209,MEAF,1765.2688768349467,35.26981163064524,1670.966333141013,1670.966333141013,9,True,25,1000.0
R210,GA,1326.8096968737514,45.48268541287823,1248.5156238056607,1248.5156238056607,9,True,25,1000.0
R210,PSO,2160.452298891164,17.63478677786428,2105.5478419386445,2105.5478419386445,9,True,25,1000.0
R210,ACS,2148.070404398071,55.57000963680818,2001.624911399184,2001.624911399184,20,True,25,1000.0
R210,MEAF,1901.6108259702107,32.547151203864345,1814.2268956124672,1814.2268956124672,9,True,25,1000.0
R211,GA,1185.7944174446684,39.19606076847845,1113.9413422132163,1113.9413422132163,5,True,25,1000.0
R211,PSO,1928.629266437218,18.930481570920154,1885.7819630253516,1885.7819630253516,7,True,25,1000.0
R211,ACS,1787.703104029036,63.59051373769646,1633.835653489978,1633.835653489978,11,True,25,1000.0
R211,MEAF,1673.8483088959733,32.889996224329956,1585.9493432507102,1585.9493432507102,11,True,25,1000.0
RC101,GA,2611.8205702696355,291.1353884640022,2247.5500266389163,2247.5500266389163,25,True,25,200.0
RC101,PSO,10533.128522231877,174.60395330421042,10014.98344172883,10014.98344172883,48,False,25,200.0
RC101,ACS,8473.640586666204,298.0349196669971,7978.675953994872,7978.675953994872,43,False,25,200.0
RC101,MEAF,6766.849629445801,156.0260107634383,6521.452383092418,6521.452383092418,36,False,25,200.0
RC102,GA,2174.4349624573183,83.93783508749468,2057.273609897605,2057.273609897605,21,True,25,200.0
RC102,PSO,8409.363146601201,196.11367278068917,7850.982492519606,7850.982492519606,41,False,25,200.0
RC102,ACS,6102.62199728175,216.4312246715802,5816.7326174740265,5816.7326174740265,35,False,25,200.0
RC102,MEAF,5013.205099460752,143.02356621790753,4699.929385313861,4699.929385313861,30,False,25,200.0
RC103,GA,1962.8979147449943,99.05395631508624,1786.6685987451472,1786.6685987451472,19,True,25,200.0
RC103,PSO,5269.533541752912,78.35501504922733,5032.64123531613,5032.64123531613,31,False,25,200.0
RC103,ACS,3477.01769487192,364.87191838831956,2488.745585931637,2488.745585931637,25,True,25,200.0
RC103,MEAF,2952.073537287103,46.723995657696804,2871.10751783838,2871.10751783838,26,False,25,200.0
RC104,GA,1743.825441032547,80.35394594208749,1549.2739192544927,1549.2739192544927,14,True,25,200.0
RC104,PSO,3522.3623746815406,187.50298899055852,3062.972971781364,3062.972971781364,25,True,25,200.0
RC104,ACS,2370.5594210678864,50.81943679683942,2282.78437341354,2282.78437341354,21,True,25,200.0
RC104,MEAF,2182.4800135874675,42.78335271350792,2112.9504778865285,2112.9504778865285,20,True,25,200.0
RC105,GA,2227.1212328279485,122.97058237783386,2056.976149245507,2056.976149245507,22,True,25,200.0
RC105,PSO,6699.143804455291,277.95935013921064,6057.69823917188,6057.69823917188,35,False,25,200.0
RC105,ACS,6341.290855939818,258.37111220540044,5815.239613635305,5815.239613635305,36,False,25,200.0
RC105,MEAF,4268.86422564744,126.38014917614089,4023.471968075893,4023.471968075893,28,False,25,200.0
RC106,GA,2060.3996814138204,73.87139665127529,1957.058704305473,1957.058704305473,21,True,25,200.0
RC106,PSO,5598.854372243041,98.67605761824014,5271.86064729899,5271.86064729899,33,False,25,200.0
RC106,ACS,4736.8162478983595,286.7162904941166,4322.541383327388,4322.541383327388,31,False,25,200.0
RC106,MEAF,3486.02807199429,153.5051812107462,3245.7497832801746,3245.7497832801746,26,False,25,200.0
RC107,GA,1895.3491816011394,60.31752360915002,1766.3867130042727,1766.3867130042727,18,True,25,200.0
RC107,PSO,4419.858533731548,131.30929207916773,4259.383034648875,4259.383034648875,29,False,25,200.0
RC107,ACS,2779.4850007158548,189.7755257961763,2469.940294934269,2469.940294934269,25,True,25,200.0
RC107,MEAF,2411.9681083586524,33.428535548475736,2325.89943361863,2325.89943361863,24,True,25,200.0
RC108,GA,1721.8406115713533,59.96018097771303,1621.4758668917473,1621.4758668917473,17,True,25,200.0
RC108,PSO,2808.0234162394854,47.77911501017407,2680.1211242861154,2680.1211242861154,23,True,25,200.0
RC108,ACS,2287.1747173873264,64.2114334034896,2154.068305916491,2154.068305916491,20,True,25,200.0
RC108,MEAF,2132.8004303166463,33.38997493527902,2046.9468332041508,2046.9468332041508,18,True,25,200.0
RC201,GA,1936.4875241109341,55.090790263597164,1836.5234174247985,1836.5234174247985,14,True,25,1000.0
RC201,PSO,2981.5003141543266,34.797976878930136,2920.981951853412,2920.981951853412,12,True,25,1000.0
RC201,ACS,3023.4253596650533,0.0,3023.4253596650533,3023.4253596650533,13,True,25,1000.0
RC201,MEAF,2555.2406176876348,37.88880168529559,2499.153223145289,2499.153223145289,15,True,25,1000.0
RC202,GA,1691.1078928959676,63.521764470498255,1543.530217140391,1543.530217140391,10,True,25,1000.0
RC202,PSO,3093.381037173848,21.26585019911177,3054.4014131430695,3054.4014131430695,12,True,25,1000.0
RC202,ACS,3052.431246235394,120.35726560779138,2676.3604541821537,2676.3604541821537,25,True,25,1000.0
RC202,MEAF,2597.739698290259,36.491719201256615,2488.8818489201963,2488.8818489201963,25,True,25,1000.0
RC203,GA,1602.3096698156314,59.14155694958517,1499.6123042257275,1499.6123042257275,8,True,25,1000.0
RC203,PSO,2830.093175021787,24.01634097086262,2784.07385725115,2784.07385725115,10,True,25,1000.0
RC203,ACS,2411.7173897887214,57.44641374924626,2272.1474055290178,2272.1474055290178,17,True,25,1000.0
RC203,MEAF,2204.6450255279997,58.15427972031245,2051.511962485758,2051.511962485758,17,True,25,1000.0
RC204,GA,1412.3974184276058,63.706602566485984,1329.960227637745,1329.960227637745,7,True,25,1000.0
RC204,PSO,2545.457868578485,32.83968033613827,2490.7970349609222,2490.7970349609222,6,True,25,1000.0
RC204,ACS,1966.222141828499,52.754058848054065,1847.9121519491582,1847.9121519491582,12,True,25,1000.0
RC204,MEAF,1797.8415263089842,29.769822749657447,1743.1794934990992,1743.1794934990992,9,True,25,1000.0
RC205,GA,1833.2278829592947,64.96235521580425,1718.7909416128007,1718.7909416128007,12,True,25,1000.0
RC205,PSO,3211.7493696748757,29.80067394761721,3135.0847104724885,3135.0847104724885,13,True,25,1000.0
RC205,ACS,3235.9773274357854,53.11060163124825,2998.459496289021,2998.459496289021,26,False,25,1000.0
RC205,MEAF,2638.424574918855,42.387040712263136,2546.42489846565,2546.42489846565,13,True,25,1000.0
RC206,GA,1735.0435099829706,63.04654262269629,1617.115004818338,1617.115004818338,11,True,25,1000.0
RC206,PSO,2599.5523575744846,27.60952070707318,2525.6888067625273,2525.6888067625273,10,True,25,1000.0
RC206,ACS,2630.314511178688,0.0,2630.314511178688,2630.314511178688,10,True,25,1000.0
RC206,MEAF,2343.8256625509425,18.588819148914844,2302.7846440860108,2302.7846440860108,10,True,25,1000.0
RC207,GA,1638.730603617813,90.9661475852878,1499.020845605854,1499.020845605854,11,True,25,1000.0
RC207,PSO,2716.6651650839035,17.90175405567093,2672.535069470708,2672.535069470708,11,True,25,1000.0
RC207,ACS,2459.1565119112165,64.89755160488568,2346.62734152998,2346.62734152998,20,True,25,1000.0
RC207,MEAF,2282.900948767666,39.725840444983675,2193.450447435416,2193.450447435416,18,True,25,1000.0
RC208,GA,1338.7866705469107,48.216489828549236,1273.2764559659452,1273.2764559659452,7,True,25,1000.0
RC208,PSO,2533.620183725525,20.84261845384395,2498.8822283870913,2498.8822283870913,8,True,25,1000.0
RC208,ACS,1846.5960227085895,58.139710320233256,1738.7315096429534,1738.7315096429534,9,True,25,1000.0
RC208,MEAF,1700.9141982159945,48.249769052619584,1588.5993915997585,1588.5993915997585,8,True,25,1000.0
